court,round,best_of,player0,player1,winner
Outdoor,6,3,10,124,player0
Outdoor,6,3,14,57,player0
Outdoor,6,3,22,87,player0
Outdoor,6,3,69,30,player0
Outdoor,6,3,3,70,player0
Outdoor,6,3,136,13,player0
Outdoor,6,3,6,61,player0
Outdoor,6,3,9,167,player0
Outdoor,6,3,26,48,player0
Outdoor,6,3,32,82,player0
Outdoor,6,3,5,97,player0
Outdoor,6,3,42,12,player0
Outdoor,6,3,67,33,player0
Outdoor,6,3,24,140,player0
Outdoor,6,3,11,152,player0
Outdoor,6,3,83,23,player0
Outdoor,6,3,16,58,player0
Outdoor,6,3,8,37,player0
Outdoor,6,3,18,35,player0
Outdoor,6,3,2,43,player0
Outdoor,6,3,62,34,player0
Outdoor,6,3,25,53,player0
Outdoor,5,3,1,67,player0
Outdoor,5,3,7,81,player0
Outdoor,5,3,44,63,player0
Outdoor,5,3,86,5,player0
Outdoor,5,3,10,25,player0
Outdoor,5,3,14,21,player0
Outdoor,5,3,22,136,player0
Outdoor,5,3,3,32,player0
Outdoor,5,3,6,69,player0
Outdoor,5,3,9,26,player0
Outdoor,5,3,24,11,player0
Outdoor,5,3,83,42,player0
Outdoor,5,3,16,20,player0
Outdoor,5,3,8,28,player0
Outdoor,5,3,18,54,player0
Outdoor,5,3,2,62,player0
Outdoor,4,3,1,16,player0
Outdoor,4,3,44,22,player0
Outdoor,4,3,86,24,player0
Outdoor,4,3,10,8,player0
Outdoor,4,3,14,3,player0
Outdoor,4,3,6,83,player0
Outdoor,4,3,9,7,player0
Outdoor,4,3,2,18,player0
Outdoor,3,3,1,10,player0
Outdoor,3,3,14,86,player0
Outdoor,3,3,6,44,player0
Outdoor,3,3,2,9,player0
Outdoor,2,3,6,1,player0
Outdoor,2,3,2,14,player0
Outdoor,1,5,2,6,player0
Outdoor,7,3,1,151,player0
